Year,Feature,Importance
2019,NDWI,0.112509
2019,BSI,0.108057
2019,Clay,0.104984
2019,EVI,0.099819
2019,NDVI,0.098832
2019,MSAVI2,0.08772
2019,NBR,0.085978
2019,Ferrous,0.081628
2019,VV_VH_ratio,0.079122
2019,VV,0.071266
2019,VH,0.070086
2020,NDWI,0.148642
2020,EVI,0.111592
2020,NDVI,0.104192
2020,BSI,0.103837
2020,VV,0.095579
2020,VV_VH_ratio,0.079432
2020,VH,0.077242
2020,Clay,0.076177
2020,MSAVI2,0.076082
2020,Ferrous,0.066608
2020,NBR,0.060618
2021,NDWI,0.135778
2021,NDVI,0.115459
2021,BSI,0.10847
2021,EVI,0.1078
2021,Clay,0.093203
2021,MSAVI2,0.084998
2021,VV_VH_ratio,0.078311
2021,VV,0.077289
2021,Ferrous,0.072032
2021,NBR,0.068891
2021,VH,0.057769
2022,NDWI,0.151705
2022,NDVI,0.112564
2022,Clay,0.109069
2022,BSI,0.108556
2022,EVI,0.104562
2022,Ferrous,0.07731
2022,NBR,0.076243
2022,MSAVI2,0.076135
2022,VV_VH_ratio,0.066998
2022,VV,0.061489
2022,VH,0.055369
2023,NDWI,0.145198
2023,NDVI,0.126365
2023,BSI,0.10246
2023,EVI,0.09564
2023,NBR,0.087812
2023,Clay,0.086644
2023,Ferrous,0.085842
2023,MSAVI2,0.077821
2023,VV,0.067831
2023,VV_VH_ratio,0.063753
2023,VH,0.060635
2024,NDWI,0.158425
2024,NDVI,0.119698
2024,BSI,0.104025
2024,EVI,0.095753
2024,VV_VH_ratio,0.091261
2024,VV,0.084442
2024,Clay,0.075197
2024,Ferrous,0.073204
2024,MSAVI2,0.070978
2024,NBR,0.070538
2024,VH,0.05648
2025,BSI,0.141664
2025,NDWI,0.135467
2025,NDVI,0.098585
2025,Clay,0.090943
2025,EVI,0.088131
2025,MSAVI2,0.086803
2025,VV,0.079658
2025,Ferrous,0.07602
2025,VV_VH_ratio,0.073054
2025,NBR,0.069184
2025,VH,0.060491
